product_id,product_name,category,price,stock
3001,"Generic Wireless Earbuds",Electronics,2786.82,54
3002,"Generic Bluetooth Speaker",Electronics,8781.78,200
3003,"Prestige USB-C Charger",Electronics,8310.63,164
3004,"boAt Mechanical Keyboard",Electronics,5297.49,99
3005,"Prestige HD Webcam",Electronics,3803.74,29
3006,"Samsung Power Bank",Electronics,9141.20,237
3007,"Puma Smart Watch",Electronics,8009.35,473
3008,"Generic LED Monitor",Electronics,1982.10,482
3009,"Penguin Gaming Mouse",Electronics,7350.17,278
3010,"boAt Laptop Stand",Electronics,7776.78,83
3011,"Puma Cotton T-Shirt",Clothing,8238.17,490
3012,"Generic Kurti Set",Clothing,2130.35,28
3013,"boAt Running Shoes",Clothing,3936.12,452
3014,"Samsung Denim Jeans",Clothing,139.69,487
3015,"boAt Woolen Hoodie",Clothing,6900.82,314
3016,"Samsung Formal Shirt",Clothing,3398.57,465
3017,"Penguin Saree",Clothing,1119.72,402
3018,"Penguin Kurta Pyjama",Clothing,321.55,398
3019,"Lakme Sports Shorts",Clothing,6423.62,117
3020,"Penguin Winter Jacket",Clothing,2084.50,156
3021,"Generic Yoga Mat",Sports,5368.53,405
3022,"Puma Dumbbell Set",Sports,6743.13,149
3023,"Samsung Badminton Racket",Sports,1658.21,68
3024,"boAt Water Bottle",Sports,9586.15,296
3025,"Lakme Resistance Bands",Sports,2144.12,189
3026,"Penguin Skipping Rope",Sports,2782.42,492
3027,"boAt Football",Sports,5782.42,97
3028,"Lakme Cricket Bat",Sports,3181.64,466
3029,"Puma Cycling Gloves",Sports,5450.71,35
3030,"Samsung Gym Bag",Sports,386.03,472
3031,"boAt Cookware Set","Home & Kitchen",1147.68,37
3032,"Generic Air Fryer","Home & Kitchen",4321.01,101
3033,"Lakme Non-Stick Pan","Home & Kitchen",6200.52,169
3034,"boAt Pressure Cooker","Home & Kitchen",8191.68,375
3035,"Generic Mixer Grinder","Home & Kitchen",9738.45,396
3036,"Generic Water Purifier","Home & Kitchen",5720.11,57
3037,"Generic Induction Cooktop","Home & Kitchen",1061.90,168
3038,"Prestige Storage Containers","Home & Kitchen",4757.40,495
3039,"Penguin Knife Set","Home & Kitchen",1521.84,468
3040,"Puma Coffee Maker","Home & Kitchen",9136.33,210
3041,"Lakme The Alchemist",Books,7025.18,350
3042,"Lakme Atomic Habits",Books,7907.91,461
3043,"boAt Rich Dad Poor Dad",Books,4586.50,25
3044,"Generic Deep Work",Books,4804.81,189
3045,"Penguin Zero to One",Books,4665.29,97
3046,"Puma Ikigai",Books,7701.62,319
3047,"boAt The Psychology of Money",Books,5127.70,217
3048,"boAt Think and Grow Rich",Books,3325.11,342
3049,"Generic Sapiens",Books,7944.07,282
3050,"Prestige 1984",Books,4067.08,221
3051,"Puma Face Moisturizer",Beauty,6245.66,290
3052,"boAt Sunscreen SPF50",Beauty,9740.53,206
3053,"Funskool Hair Serum",Beauty,3472.07,426
3054,"Lakme Lip Balm",Beauty,7863.71,232
3055,"Puma Kajal",Beauty,5489.82,130
3056,"Generic Face Wash",Beauty,6658.86,49
3057,"Generic Body Lotion",Beauty,1230.80,315
3058,"Generic Perfume",Beauty,3320.24,59
3059,"Funskool Nail Polish",Beauty,1843.12,499
3060,"Funskool Eye Cream",Beauty,788.12,65
3061,"Samsung Lego Set",Toys,3340.34,340
3062,"Puma Puzzle 1000pcs",Toys,995.28,428
3063,"Samsung Board Game",Toys,8882.89,472
3064,"Puma Remote Car",Toys,7594.07,348
3065,"Funskool Teddy Bear",Toys,4583.45,159
3066,"Prestige Barbie Doll",Toys,6193.16,238
3067,"Lakme Action Figure",Toys,2135.05,459
3068,"Penguin Clay Kit",Toys,3066.38,416
3069,"Funskool Coloring Book",Toys,9192.17,489
3070,"Lakme Wooden Blocks",Toys,7205.13,478
